Td	ID	  	Tj	Df	Dd	Db
773	314		184	26	563	589
773	559		331	54	388	442
774	315		184	26	564	590
775	382		211	30	534	564
776	2295	165	21	590	611
776	384		211	30	535	565
777	2297	165	22	590	612
778	490		284	51	443	494
779	2472	285	37	457	494
779	167		92	16	671	687
780	2478	286	36	458	494
780	2298	165	22	593	615
783	388		213	31	539	570
783	492		286	53	444	497
784	284		164	22	598	620
784	389		213	32	539	571
786	328		187	26	573	599
787	2384	217	34	536	570
788	589		345	53	390	443
788	590		345	53	390	443
789	331		189	26	574	600
790	446		249	42	499	541
791	2340	191	27	573	600
791	450		249	43	499	542
792	2342	191	27	574	601
793	2344	191	27	575	602
793	195		110	16	667	683
794	392		217	33	544	577
796	229		127	17	652	669
799	2389	221	35	543	578
800	338		191	27	582	609
800	594		351	52	397	449
801	396		219	34	548	582
802	2351	195	28	579	607
802	342		192	28	582	610
804	2356	198	29	577	606
809	2362	199	30	580	610
811	346		195	28	588	616
812	348		195	28	589	617
813	2276	154	20	639	659
813	205		113	17	683	700
814	2279	154	21	639	660
814	2400	231	34	549	583
814	259		149	23	642	665
816	748		487	329	0	329
